,home_games,home_wins,home_draws,home_losses,home_win_rate,home_loss_rate,away_games,away_wins,away_draws,away_losses,away_win_rate,away_loss_rate,total_games,total_wins,total_losses,total_draws,overall_win_rate,overall_loss_rate
For Sittard,119.0,40.0,32.0,47.0,0.33613445378151263,0.3949579831932773,119.0,22.0,30.0,67.0,0.18487394957983194,0.5630252100840336,238.0,62.0,114.0,62.0,0.2605042016806723,0.4789915966386555
Naval,77.0,23.0,21.0,33.0,0.2987012987012987,0.42857142857142855,77.0,17.0,18.0,42.0,0.22077922077922077,0.5454545454545454,154.0,40.0,75.0,39.0,0.2597402597402597,0.487012987012987
CZ Jena,104.0,36.0,36.0,32.0,0.34615384615384615,0.3076923076923077,104.0,18.0,35.0,51.0,0.17307692307692307,0.49038461538461536,208.0,54.0,83.0,71.0,0.25961538461538464,0.39903846153846156
Cesena,254.0,87.0,95.0,72.0,0.3425196850393701,0.28346456692913385,252.0,44.0,75.0,133.0,0.1746031746031746,0.5277777777777778,506.0,131.0,205.0,170.0,0.25889328063241107,0.4051383399209486
Panetolikos,29.0,13.0,11.0,5.0,0.4482758620689655,0.1724137931034483,29.0,2.0,8.0,19.0,0.06896551724137931,0.6551724137931034,58.0,15.0,24.0,19.0,0.25862068965517243,0.41379310344827586
Grosseto,105.0,37.0,44.0,24.0,0.3523809523809524,0.22857142857142856,105.0,17.0,38.0,50.0,0.1619047619047619,0.47619047619047616,210.0,54.0,74.0,82.0,0.2571428571428571,0.3523809523809524
Norwich City,76.0,27.0,24.0,25.0,0.35526315789473684,0.32894736842105265,76.0,12.0,17.0,47.0,0.15789473684210525,0.618421052631579,152.0,39.0,72.0,41.0,0.2565789473684211,0.47368421052631576
Aalst,119.0,40.0,33.0,46.0,0.33613445378151263,0.3865546218487395,119.0,21.0,27.0,71.0,0.17647058823529413,0.5966386554621849,238.0,61.0,117.0,60.0,0.25630252100840334,0.49159663865546216
Spezia,81.0,27.0,26.0,28.0,0.3333333333333333,0.345679012345679,79.0,14.0,30.0,35.0,0.17721518987341772,0.4430379746835443,160.0,41.0,63.0,56.0,0.25625,0.39375
Diyarbakirspor,84.0,29.0,20.0,35.0,0.34523809523809523,0.4166666666666667,84.0,14.0,18.0,52.0,0.16666666666666666,0.6190476190476191,168.0,43.0,87.0,38.0,0.25595238095238093,0.5178571428571429
Graafschap,170.0,58.0,47.0,65.0,0.3411764705882353,0.38235294117647056,170.0,29.0,37.0,104.0,0.17058823529411765,0.611764705882353,340.0,87.0,169.0,84.0,0.25588235294117645,0.4970588235294118
União de Leiria,45.0,15.0,8.0,22.0,0.3333333333333333,0.4888888888888889,45.0,8.0,12.0,25.0,0.17777777777777778,0.5555555555555556,90.0,23.0,47.0,20.0,0.25555555555555554,0.5222222222222223
Moreirense FC,49.0,12.0,15.0,22.0,0.24489795918367346,0.4489795918367347,49.0,13.0,13.0,23.0,0.2653061224489796,0.46938775510204084,98.0,25.0,45.0,28.0,0.25510204081632654,0.45918367346938777
Proodeytiki,51.0,19.0,16.0,16.0,0.37254901960784315,0.3137254901960784,51.0,7.0,7.0,37.0,0.13725490196078433,0.7254901960784313,102.0,26.0,53.0,23.0,0.2549019607843137,0.5196078431372549
Osnabruck,51.0,20.0,17.0,14.0,0.39215686274509803,0.27450980392156865,51.0,6.0,12.0,33.0,0.11764705882352941,0.6470588235294118,102.0,26.0,47.0,29.0,0.2549019607843137,0.46078431372549017
Foggia,53.0,22.0,19.0,12.0,0.41509433962264153,0.22641509433962265,53.0,5.0,18.0,30.0,0.09433962264150944,0.5660377358490566,106.0,27.0,42.0,37.0,0.25471698113207547,0.39622641509433965
Dundee FC,58.0,16.0,19.0,23.0,0.27586206896551724,0.39655172413793105,56.0,13.0,17.0,26.0,0.23214285714285715,0.4642857142857143,114.0,29.0,49.0,36.0,0.2543859649122807,0.4298245614035088
Juve Stabia,58.0,18.0,20.0,20.0,0.3103448275862069,0.3448275862068966,60.0,12.0,17.0,31.0,0.2,0.5166666666666667,118.0,30.0,51.0,37.0,0.2542372881355932,0.4322033898305085
Panthrakikos,59.0,19.0,12.0,28.0,0.3220338983050847,0.4745762711864407,59.0,11.0,15.0,33.0,0.1864406779661017,0.559322033898305,118.0,30.0,61.0,27.0,0.2542372881355932,0.5169491525423728
Louhans-Cuis.,61.0,22.0,19.0,20.0,0.36065573770491804,0.32786885245901637,61.0,9.0,12.0,40.0,0.14754098360655737,0.6557377049180327,122.0,31.0,60.0,31.0,0.2540983606557377,0.4918032786885246
UD Almería,95.0,31.0,33.0,31.0,0.3263157894736842,0.3263157894736842,95.0,17.0,13.0,65.0,0.17894736842105263,0.6842105263157895,190.0,48.0,96.0,46.0,0.25263157894736843,0.5052631578947369
Egaleo,30.0,11.0,7.0,12.0,0.36666666666666664,0.4,30.0,4.0,9.0,17.0,0.13333333333333333,0.5666666666666667,60.0,15.0,29.0,16.0,0.25,0.48333333333333334
Lucchese,38.0,15.0,13.0,10.0,0.39473684210526316,0.2631578947368421,38.0,4.0,11.0,23.0,0.10526315789473684,0.6052631578947368,76.0,19.0,33.0,24.0,0.25,0.4342105263157895
Zwolle,50.0,16.0,17.0,17.0,0.32,0.34,50.0,9.0,17.0,24.0,0.18,0.48,100.0,25.0,41.0,34.0,0.25,0.41
Lugano,18.0,6.0,4.0,8.0,0.3333333333333333,0.4444444444444444,18.0,3.0,4.0,11.0,0.16666666666666666,0.6111111111111112,36.0,9.0,19.0,8.0,0.25,0.5277777777777778
Boavista FC,34.0,12.0,7.0,15.0,0.35294117647058826,0.4411764705882353,34.0,5.0,9.0,20.0,0.14705882352941177,0.5882352941176471,68.0,17.0,35.0,16.0,0.25,0.5147058823529411
1. FC Kaiserslautern,34.0,8.0,11.0,15.0,0.23529411764705882,0.4411764705882353,34.0,9.0,7.0,18.0,0.2647058823529412,0.5294117647058824,68.0,17.0,33.0,18.0,0.25,0.4852941176470588
Roeselare,82.0,32.0,19.0,31.0,0.3902439024390244,0.3780487804878049,82.0,9.0,24.0,49.0,0.10975609756097561,0.5975609756097561,164.0,41.0,80.0,43.0,0.25,0.4878048780487805
Portsmouth,130.0,53.0,34.0,43.0,0.4076923076923077,0.33076923076923076,130.0,12.0,52.0,66.0,0.09230769230769231,0.5076923076923077,260.0,65.0,109.0,86.0,0.25,0.41923076923076924
RKC Waalwijk,68.0,25.0,12.0,31.0,0.36764705882352944,0.45588235294117646,68.0,9.0,15.0,44.0,0.1323529411764706,0.6470588235294118,136.0,34.0,75.0,27.0,0.25,0.5514705882352942
Odra Wodzisław,30.0,10.0,8.0,12.0,0.3333333333333333,0.4,30.0,5.0,6.0,19.0,0.16666666666666666,0.6333333333333333,60.0,15.0,31.0,14.0,0.25,0.5166666666666667
Wattenscheid,85.0,32.0,25.0,28.0,0.3764705882352941,0.32941176470588235,85.0,10.0,23.0,52.0,0.11764705882352941,0.611764705882353,170.0,42.0,80.0,48.0,0.24705882352941178,0.47058823529411764
Ahlen,51.0,13.0,11.0,27.0,0.2549019607843137,0.5294117647058824,51.0,12.0,12.0,27.0,0.23529411764705882,0.5294117647058824,102.0,25.0,54.0,23.0,0.24509803921568626,0.5294117647058824
Naval 1° de Maio,45.0,13.0,13.0,19.0,0.28888888888888886,0.4222222222222222,45.0,9.0,9.0,27.0,0.2,0.6,90.0,22.0,46.0,22.0,0.24444444444444444,0.5111111111111111
Academica,170.0,50.0,53.0,67.0,0.29411764705882354,0.3941176470588235,170.0,33.0,45.0,92.0,0.19411764705882353,0.5411764705882353,340.0,83.0,159.0,98.0,0.24411764705882352,0.4676470588235294
Racing Santander,76.0,20.0,26.0,30.0,0.2631578947368421,0.39473684210526316,76.0,17.0,21.0,38.0,0.2236842105263158,0.5,152.0,37.0,68.0,47.0,0.24342105263157895,0.4473684210526316
Real Valladolid,76.0,25.0,28.0,23.0,0.32894736842105265,0.3026315789473684,76.0,12.0,19.0,45.0,0.15789473684210525,0.5921052631578947,152.0,37.0,68.0,47.0,0.24342105263157895,0.4473684210526316
Monza,76.0,23.0,35.0,18.0,0.3026315789473684,0.23684210526315788,76.0,14.0,21.0,41.0,0.18421052631578946,0.5394736842105263,152.0,37.0,59.0,56.0,0.24342105263157895,0.3881578947368421
FC Aarau,72.0,25.0,12.0,35.0,0.3472222222222222,0.4861111111111111,72.0,10.0,22.0,40.0,0.1388888888888889,0.5555555555555556,144.0,35.0,75.0,34.0,0.24305555555555555,0.5208333333333334
Go Ahead Eagles,101.0,30.0,28.0,43.0,0.297029702970297,0.42574257425742573,101.0,19.0,20.0,62.0,0.18811881188118812,0.6138613861386139,202.0,49.0,105.0,48.0,0.24257425742574257,0.5198019801980198
Ravenna,97.0,35.0,35.0,27.0,0.36082474226804123,0.27835051546391754,97.0,12.0,28.0,57.0,0.12371134020618557,0.5876288659793815,194.0,47.0,84.0,63.0,0.2422680412371134,0.4329896907216495
Erciyesspor,31.0,9.0,8.0,14.0,0.2903225806451613,0.45161290322580644,31.0,6.0,11.0,14.0,0.1935483870967742,0.45161290322580644,62.0,15.0,28.0,19.0,0.24193548387096775,0.45161290322580644
Kerkyra,60.0,22.0,16.0,22.0,0.36666666666666664,0.36666666666666664,60.0,7.0,17.0,36.0,0.11666666666666667,0.6,120.0,29.0,58.0,33.0,0.24166666666666667,0.48333333333333334
Platanias,29.0,9.0,14.0,6.0,0.3103448275862069,0.20689655172413793,29.0,5.0,4.0,20.0,0.1724137931034483,0.6896551724137931,58.0,14.0,26.0,18.0,0.2413793103448276,0.4482758620689655
Rushden & D,46.0,16.0,10.0,20.0,0.34782608695652173,0.43478260869565216,46.0,6.0,14.0,26.0,0.13043478260869565,0.5652173913043478,92.0,22.0,46.0,24.0,0.2391304347826087,0.5
Gallipoli,21.0,6.0,4.0,11.0,0.2857142857142857,0.5238095238095238,21.0,4.0,6.0,11.0,0.19047619047619047,0.5238095238095238,42.0,10.0,22.0,10.0,0.23809523809523808,0.5238095238095238
Altrincham,42.0,14.0,10.0,18.0,0.3333333333333333,0.42857142857142855,42.0,6.0,12.0,24.0,0.14285714285714285,0.5714285714285714,84.0,20.0,42.0,22.0,0.23809523809523808,0.5
Portogruaro,21.0,6.0,6.0,9.0,0.2857142857142857,0.42857142857142855,21.0,4.0,4.0,13.0,0.19047619047619047,0.6190476190476191,42.0,10.0,22.0,10.0,0.23809523809523808,0.5238095238095238
Southport,42.0,14.0,6.0,22.0,0.3333333333333333,0.5238095238095238,42.0,6.0,14.0,22.0,0.14285714285714285,0.5238095238095238,84.0,20.0,44.0,20.0,0.23809523809523808,0.5238095238095238
Nocerina,21.0,6.0,5.0,10.0,0.2857142857142857,0.47619047619047616,21.0,4.0,5.0,12.0,0.19047619047619047,0.5714285714285714,42.0,10.0,22.0,10.0,0.23809523809523808,0.5238095238095238
Charleville,21.0,6.0,9.0,6.0,0.2857142857142857,0.2857142857142857,21.0,4.0,10.0,7.0,0.19047619047619047,0.3333333333333333,42.0,10.0,13.0,19.0,0.23809523809523808,0.30952380952380953
Messina,40.0,15.0,13.0,12.0,0.375,0.3,40.0,4.0,10.0,26.0,0.1,0.65,80.0,19.0,38.0,23.0,0.2375,0.475
Hércules Club de Fútbol,19.0,7.0,5.0,7.0,0.3684210526315789,0.3684210526315789,19.0,2.0,3.0,14.0,0.10526315789473684,0.7368421052631579,38.0,9.0,21.0,8.0,0.23684210526315788,0.5526315789473685
Stade Brestois 29,57.0,18.0,20.0,19.0,0.3157894736842105,0.3333333333333333,57.0,9.0,15.0,33.0,0.15789473684210525,0.5789473684210527,114.0,27.0,52.0,35.0,0.23684210526315788,0.45614035087719296
CD Tenerife,19.0,8.0,6.0,5.0,0.42105263157894735,0.2631578947368421,19.0,1.0,3.0,15.0,0.05263157894736842,0.7894736842105263,38.0,9.0,20.0,9.0,0.23684210526315788,0.5263157894736842
RW Essen,19.0,6.0,5.0,8.0,0.3157894736842105,0.42105263157894735,19.0,3.0,6.0,10.0,0.15789473684210525,0.5263157894736842,38.0,9.0,18.0,11.0,0.23684210526315788,0.47368421052631576
Dijon FCO,19.0,6.0,4.0,9.0,0.3157894736842105,0.47368421052631576,19.0,3.0,5.0,11.0,0.15789473684210525,0.5789473684210527,38.0,9.0,20.0,9.0,0.23684210526315788,0.5263157894736842
Le Mans FC,38.0,12.0,10.0,16.0,0.3157894736842105,0.42105263157894735,38.0,6.0,8.0,24.0,0.15789473684210525,0.631578947368421,76.0,18.0,40.0,18.0,0.23684210526315788,0.5263157894736842
FC Energie Cottbus,17.0,6.0,1.0,10.0,0.35294117647058826,0.5882352941176471,17.0,2.0,5.0,10.0,0.11764705882352941,0.5882352941176471,34.0,8.0,20.0,6.0,0.23529411764705882,0.5882352941176471
Santa Clara,34.0,12.0,14.0,8.0,0.35294117647058826,0.23529411764705882,34.0,4.0,6.0,24.0,0.11764705882352941,0.7058823529411765,68.0,16.0,32.0,20.0,0.23529411764705882,0.47058823529411764
Felgueiras,17.0,6.0,5.0,6.0,0.35294117647058826,0.35294117647058826,17.0,2.0,4.0,11.0,0.11764705882352941,0.6470588235294118,34.0,8.0,17.0,9.0,0.23529411764705882,0.5
P. Ofisi,17.0,6.0,3.0,8.0,0.35294117647058826,0.47058823529411764,17.0,2.0,2.0,13.0,0.11764705882352941,0.7647058823529411,34.0,8.0,21.0,5.0,0.23529411764705882,0.6176470588235294
Louvieroise,68.0,20.0,27.0,21.0,0.29411764705882354,0.3088235294117647,68.0,12.0,21.0,35.0,0.17647058823529413,0.5147058823529411,136.0,32.0,56.0,48.0,0.23529411764705882,0.4117647058823529
Wehen,34.0,10.0,12.0,12.0,0.29411764705882354,0.35294117647058826,34.0,6.0,11.0,17.0,0.17647058823529413,0.5,68.0,16.0,29.0,23.0,0.23529411764705882,0.4264705882352941
Mersin Idman Yurdu,34.0,9.0,8.0,17.0,0.2647058823529412,0.5,34.0,7.0,8.0,19.0,0.20588235294117646,0.5588235294117647,68.0,16.0,36.0,16.0,0.23529411764705882,0.5294117647058824
Orduspor,34.0,13.0,11.0,10.0,0.38235294117647056,0.29411764705882354,34.0,3.0,12.0,19.0,0.08823529411764706,0.5588235294117647,68.0,16.0,29.0,23.0,0.23529411764705882,0.4264705882352941
Seraing,17.0,5.0,4.0,8.0,0.29411764705882354,0.47058823529411764,17.0,3.0,1.0,13.0,0.17647058823529413,0.7647058823529411,34.0,8.0,21.0,5.0,0.23529411764705882,0.6176470588235294
Karlsruher SC,17.0,5.0,4.0,8.0,0.29411764705882354,0.47058823529411764,17.0,3.0,1.0,13.0,0.17647058823529413,0.7647058823529411,34.0,8.0,21.0,5.0,0.23529411764705882,0.6176470588235294
Essen,34.0,11.0,9.0,14.0,0.3235294117647059,0.4117647058823529,34.0,5.0,7.0,22.0,0.14705882352941177,0.6470588235294118,68.0,16.0,36.0,16.0,0.23529411764705882,0.5294117647058824
FC St. Pauli,17.0,4.0,3.0,10.0,0.23529411764705882,0.5882352941176471,17.0,4.0,2.0,11.0,0.23529411764705882,0.6470588235294118,34.0,8.0,21.0,5.0,0.23529411764705882,0.6176470588235294
Tondela,17.0,3.0,4.0,10.0,0.17647058823529413,0.5882352941176471,17.0,5.0,2.0,10.0,0.29411764705882354,0.5882352941176471,34.0,8.0,20.0,6.0,0.23529411764705882,0.5882352941176471
FC Brussels,51.0,15.0,16.0,20.0,0.29411764705882354,0.39215686274509803,51.0,9.0,15.0,27.0,0.17647058823529413,0.5294117647058824,102.0,24.0,47.0,31.0,0.23529411764705882,0.46078431372549017
MVV Maastricht,85.0,26.0,28.0,31.0,0.3058823529411765,0.36470588235294116,85.0,14.0,14.0,57.0,0.16470588235294117,0.6705882352941176,170.0,40.0,88.0,42.0,0.23529411764705882,0.5176470588235295
Doxa,17.0,8.0,4.0,5.0,0.47058823529411764,0.29411764705882354,17.0,0.0,1.0,16.0,0.0,0.9411764705882353,34.0,8.0,21.0,5.0,0.23529411764705882,0.6176470588235294
SC Cambuur,51.0,20.0,9.0,22.0,0.39215686274509803,0.43137254901960786,51.0,4.0,17.0,30.0,0.0784313725490196,0.5882352941176471,102.0,24.0,52.0,26.0,0.23529411764705882,0.5098039215686274
Siegen,17.0,5.0,5.0,7.0,0.29411764705882354,0.4117647058823529,17.0,3.0,2.0,12.0,0.17647058823529413,0.7058823529411765,34.0,8.0,19.0,7.0,0.23529411764705882,0.5588235294117647
Beira Mar,145.0,46.0,48.0,51.0,0.31724137931034485,0.35172413793103446,145.0,22.0,36.0,87.0,0.15172413793103448,0.6,290.0,68.0,138.0,84.0,0.23448275862068965,0.47586206896551725
CF Os Belenenses,79.0,22.0,25.0,32.0,0.27848101265822783,0.4050632911392405,79.0,15.0,28.0,36.0,0.189873417721519,0.45569620253164556,158.0,37.0,68.0,53.0,0.23417721518987342,0.43037974683544306
Vitória Setúbal,124.0,41.0,33.0,50.0,0.33064516129032256,0.4032258064516129,124.0,17.0,32.0,75.0,0.13709677419354838,0.6048387096774194,248.0,58.0,125.0,65.0,0.23387096774193547,0.5040322580645161
Tranmere,184.0,52.0,60.0,72.0,0.2826086956521739,0.391304347826087,184.0,34.0,38.0,112.0,0.18478260869565216,0.6086956521739131,368.0,86.0,184.0,98.0,0.23369565217391305,0.5
PHI,14.0,5.0,6.0,3.0,0.35714285714285715,0.21428571428571427,16.0,2.0,1.0,13.0,0.125,0.8125,30.0,7.0,16.0,7.0,0.23333333333333334,0.5333333333333333
Hartlepool,138.0,44.0,36.0,58.0,0.3188405797101449,0.42028985507246375,138.0,20.0,34.0,84.0,0.14492753623188406,0.6086956521739131,276.0,64.0,142.0,70.0,0.2318840579710145,0.5144927536231884
AC Bellinzona,54.0,17.0,13.0,24.0,0.3148148148148148,0.4444444444444444,54.0,8.0,12.0,34.0,0.14814814814814814,0.6296296296296297,108.0,25.0,58.0,25.0,0.23148148148148148,0.5370370370370371
Oud-Heverlee Leuven,93.0,32.0,34.0,27.0,0.34408602150537637,0.2903225806451613,93.0,11.0,28.0,54.0,0.11827956989247312,0.5806451612903226,186.0,43.0,81.0,62.0,0.23118279569892472,0.43548387096774194
Volendam,119.0,42.0,30.0,47.0,0.35294117647058826,0.3949579831932773,119.0,13.0,27.0,79.0,0.1092436974789916,0.6638655462184874,238.0,55.0,126.0,57.0,0.23109243697478993,0.5294117647058824
St. Mirren,133.0,34.0,44.0,55.0,0.2556390977443609,0.41353383458646614,133.0,27.0,30.0,76.0,0.20300751879699247,0.5714285714285714,266.0,61.0,131.0,74.0,0.22932330827067668,0.4924812030075188
Bergen,118.0,35.0,39.0,44.0,0.2966101694915254,0.3728813559322034,114.0,18.0,25.0,71.0,0.15789473684210525,0.6228070175438597,232.0,53.0,115.0,64.0,0.22844827586206898,0.4956896551724138
RC Lens,57.0,19.0,16.0,22.0,0.3333333333333333,0.38596491228070173,57.0,7.0,18.0,32.0,0.12280701754385964,0.5614035087719298,114.0,26.0,54.0,34.0,0.22807017543859648,0.47368421052631576
Adanaspor,68.0,21.0,17.0,30.0,0.3088235294117647,0.4411764705882353,68.0,10.0,11.0,47.0,0.14705882352941177,0.6911764705882353,136.0,31.0,77.0,28.0,0.22794117647058823,0.5661764705882353
Ferrol,42.0,9.0,16.0,17.0,0.21428571428571427,0.40476190476190477,42.0,10.0,14.0,18.0,0.23809523809523808,0.42857142857142855,84.0,19.0,35.0,30.0,0.2261904761904762,0.4166666666666667
Académica de Coimbra,124.0,35.0,48.0,41.0,0.28225806451612906,0.33064516129032256,124.0,21.0,34.0,69.0,0.1693548387096774,0.5564516129032258,248.0,56.0,110.0,82.0,0.22580645161290322,0.4435483870967742
Vanspor,85.0,31.0,24.0,30.0,0.36470588235294116,0.35294117647058826,85.0,7.0,15.0,63.0,0.08235294117647059,0.7411764705882353,170.0,38.0,93.0,39.0,0.2235294117647059,0.5470588235294118
Arka Gdynia,45.0,16.0,12.0,17.0,0.35555555555555557,0.37777777777777777,45.0,4.0,14.0,27.0,0.08888888888888889,0.6,90.0,20.0,44.0,26.0,0.2222222222222222,0.4888888888888889
SC Beira Mar,45.0,12.0,13.0,20.0,0.26666666666666666,0.4444444444444444,45.0,8.0,12.0,25.0,0.17777777777777778,0.5555555555555556,90.0,20.0,45.0,25.0,0.2222222222222222,0.5
Sparta Rotterdam,34.0,12.0,8.0,14.0,0.35294117647058826,0.4117647058823529,34.0,3.0,8.0,23.0,0.08823529411764706,0.6764705882352942,68.0,15.0,37.0,16.0,0.22058823529411764,0.5441176470588235
Erzurumspor,34.0,11.0,10.0,13.0,0.3235294117647059,0.38235294117647056,34.0,4.0,4.0,26.0,0.11764705882352941,0.7647058823529411,68.0,15.0,39.0,14.0,0.22058823529411764,0.5735294117647058
Penafiel,34.0,9.0,8.0,17.0,0.2647058823529412,0.5,34.0,6.0,5.0,23.0,0.17647058823529413,0.6764705882352942,68.0,15.0,40.0,13.0,0.22058823529411764,0.5882352941176471
Ethnikos,34.0,11.0,7.0,16.0,0.3235294117647059,0.47058823529411764,34.0,4.0,5.0,25.0,0.11764705882352941,0.7352941176470589,68.0,15.0,41.0,12.0,0.22058823529411764,0.6029411764705882
Wolverhampton Wanderers,57.0,16.0,13.0,28.0,0.2807017543859649,0.49122807017543857,57.0,9.0,15.0,33.0,0.15789473684210525,0.5789473684210527,114.0,25.0,61.0,28.0,0.21929824561403508,0.5350877192982456
Logrones,122.0,34.0,41.0,47.0,0.2786885245901639,0.38524590163934425,122.0,19.0,30.0,73.0,0.1557377049180328,0.5983606557377049,244.0,53.0,120.0,71.0,0.21721311475409835,0.4918032786885246
FC Lausanne-Sports,53.0,16.0,8.0,29.0,0.3018867924528302,0.5471698113207547,53.0,7.0,10.0,36.0,0.1320754716981132,0.6792452830188679,106.0,23.0,65.0,18.0,0.2169811320754717,0.6132075471698113
Beveren,153.0,41.0,45.0,67.0,0.2679738562091503,0.43790849673202614,153.0,25.0,26.0,102.0,0.16339869281045752,0.6666666666666666,306.0,66.0,169.0,71.0,0.21568627450980393,0.5522875816993464
Alcoyano,21.0,6.0,7.0,8.0,0.2857142857142857,0.38095238095238093,21.0,3.0,3.0,15.0,0.14285714285714285,0.7142857142857143,42.0,9.0,23.0,10.0,0.21428571428571427,0.5476190476190477
Man City,42.0,12.0,20.0,10.0,0.2857142857142857,0.23809523809523808,42.0,6.0,16.0,20.0,0.14285714285714285,0.47619047619047616,84.0,18.0,30.0,36.0,0.21428571428571427,0.35714285714285715
Vecindario,21.0,7.0,4.0,10.0,0.3333333333333333,0.47619047619047616,21.0,2.0,3.0,16.0,0.09523809523809523,0.7619047619047619,42.0,9.0,26.0,7.0,0.21428571428571427,0.6190476190476191
St Brieuc,21.0,4.0,7.0,10.0,0.19047619047619047,0.47619047619047616,21.0,5.0,4.0,12.0,0.23809523809523808,0.5714285714285714,42.0,9.0,22.0,11.0,0.21428571428571427,0.5238095238095238
Reggiana,89.0,27.0,37.0,25.0,0.30337078651685395,0.2808988764044944,89.0,11.0,18.0,60.0,0.12359550561797752,0.6741573033707865,178.0,38.0,85.0,55.0,0.21348314606741572,0.47752808988764045
S.C. Olhanense,75.0,19.0,27.0,29.0,0.25333333333333335,0.38666666666666666,75.0,13.0,28.0,34.0,0.17333333333333334,0.4533333333333333,150.0,32.0,63.0,55.0,0.21333333333333335,0.42
VVV-Venlo,68.0,23.0,16.0,29.0,0.3382352941176471,0.4264705882352941,68.0,6.0,12.0,50.0,0.08823529411764706,0.7352941176470589,136.0,29.0,79.0,28.0,0.21323529411764705,0.5808823529411765
VVV Venlo,85.0,27.0,23.0,35.0,0.3176470588235294,0.4117647058823529,85.0,9.0,16.0,60.0,0.10588235294117647,0.7058823529411765,170.0,36.0,95.0,39.0,0.21176470588235294,0.5588235294117647
GFC Ajaccio,19.0,5.0,7.0,7.0,0.2631578947368421,0.3684210526315789,19.0,3.0,6.0,10.0,0.15789473684210525,0.5263157894736842,38.0,8.0,17.0,13.0,0.21052631578947367,0.4473684210526316
Hull City,76.0,21.0,20.0,35.0,0.27631578947368424,0.4605263157894737,76.0,11.0,21.0,44.0,0.14473684210526316,0.5789473684210527,152.0,32.0,79.0,41.0,0.21052631578947367,0.5197368421052632
RC Recreativo,19.0,4.0,4.0,11.0,0.21052631578947367,0.5789473684210527,19.0,4.0,5.0,10.0,0.21052631578947367,0.5263157894736842,38.0,8.0,21.0,9.0,0.21052631578947367,0.5526315789473685
Xerez Club Deportivo,19.0,6.0,4.0,9.0,0.3157894736842105,0.47368421052631576,19.0,2.0,6.0,11.0,0.10526315789473684,0.5789473684210527,38.0,8.0,20.0,10.0,0.21052631578947367,0.5263157894736842
Villareal,19.0,6.0,6.0,7.0,0.3157894736842105,0.3684210526315789,19.0,2.0,6.0,11.0,0.10526315789473684,0.5789473684210527,38.0,8.0,18.0,12.0,0.21052631578947367,0.47368421052631576
Gil Vicente FC,62.0,18.0,19.0,25.0,0.2903225806451613,0.4032258064516129,62.0,8.0,16.0,38.0,0.12903225806451613,0.6129032258064516,124.0,26.0,63.0,35.0,0.20967741935483872,0.5080645161290323
Olhanense,72.0,18.0,24.0,30.0,0.25,0.4166666666666667,72.0,12.0,31.0,29.0,0.16666666666666666,0.4027777777777778,144.0,30.0,59.0,55.0,0.20833333333333334,0.4097222222222222
Madeira,17.0,5.0,7.0,5.0,0.29411764705882354,0.29411764705882354,17.0,2.0,3.0,12.0,0.11764705882352941,0.7058823529411765,34.0,7.0,17.0,10.0,0.20588235294117646,0.5
Tubize,34.0,12.0,4.0,18.0,0.35294117647058826,0.5294117647058824,34.0,2.0,8.0,24.0,0.058823529411764705,0.7058823529411765,68.0,14.0,42.0,12.0,0.20588235294117646,0.6176470588235294
Uniao da Madeira,17.0,6.0,6.0,5.0,0.35294117647058826,0.29411764705882354,17.0,1.0,2.0,14.0,0.058823529411764705,0.8235294117647058,34.0,7.0,19.0,8.0,0.20588235294117646,0.5588235294117647
Fortuna Düsseldorf,17.0,5.0,6.0,6.0,0.29411764705882354,0.35294117647058826,17.0,2.0,3.0,12.0,0.11764705882352941,0.7058823529411765,34.0,7.0,18.0,9.0,0.20588235294117646,0.5294117647058824
Varzim,34.0,12.0,10.0,12.0,0.35294117647058826,0.35294117647058826,34.0,2.0,9.0,23.0,0.058823529411764705,0.6764705882352942,68.0,14.0,35.0,19.0,0.20588235294117646,0.5147058823529411
SC Paderborn 07,17.0,4.0,6.0,7.0,0.23529411764705882,0.4117647058823529,17.0,3.0,4.0,10.0,0.17647058823529413,0.5882352941176471,34.0,7.0,17.0,10.0,0.20588235294117646,0.5
VAN,16.0,6.0,5.0,5.0,0.375,0.3125,18.0,1.0,5.0,12.0,0.05555555555555555,0.6666666666666666,34.0,7.0,17.0,10.0,0.20588235294117646,0.5
Heusden Zolder,17.0,4.0,6.0,7.0,0.23529411764705882,0.4117647058823529,17.0,3.0,1.0,13.0,0.17647058823529413,0.7647058823529411,34.0,7.0,20.0,7.0,0.20588235294117646,0.5882352941176471
Excelsior,119.0,36.0,25.0,58.0,0.3025210084033613,0.48739495798319327,119.0,13.0,28.0,78.0,0.1092436974789916,0.6554621848739496,238.0,49.0,136.0,53.0,0.20588235294117646,0.5714285714285714
FC Volendam,17.0,6.0,3.0,8.0,0.35294117647058826,0.47058823529411764,17.0,1.0,5.0,11.0,0.058823529411764705,0.6470588235294118,34.0,7.0,19.0,8.0,0.20588235294117646,0.5588235294117647
Eleysina,17.0,4.0,5.0,8.0,0.23529411764705882,0.47058823529411764,17.0,3.0,6.0,8.0,0.17647058823529413,0.47058823529411764,34.0,7.0,16.0,11.0,0.20588235294117646,0.47058823529411764
A. Sebatspor,34.0,9.0,11.0,14.0,0.2647058823529412,0.4117647058823529,34.0,5.0,8.0,21.0,0.14705882352941177,0.6176470588235294,68.0,14.0,35.0,19.0,0.20588235294117646,0.5147058823529411
