,home_games,home_wins,home_draws,home_losses,home_win_rate,home_loss_rate,away_games,away_wins,away_draws,away_losses,away_win_rate,away_loss_rate,total_games,total_wins,total_losses,total_draws,overall_win_rate,overall_loss_rate
Dender,34.0,11.0,7.0,16.0,0.3235294117647059,0.47058823529411764,34.0,7.0,7.0,20.0,0.20588235294117646,0.5882352941176471,68.0,18.0,36.0,14.0,0.2647058823529412,0.5294117647058824
Sakaryaspor,34.0,14.0,9.0,11.0,0.4117647058823529,0.3235294117647059,34.0,4.0,4.0,26.0,0.11764705882352941,0.7647058823529411,68.0,18.0,37.0,13.0,0.2647058823529412,0.5441176470588235
FCV Dender EH,17.0,5.0,4.0,8.0,0.29411764705882354,0.47058823529411764,17.0,4.0,4.0,9.0,0.23529411764705882,0.5294117647058824,34.0,9.0,17.0,8.0,0.2647058823529412,0.5
Sekerspor,17.0,7.0,5.0,5.0,0.4117647058823529,0.29411764705882354,17.0,2.0,4.0,11.0,0.11764705882352941,0.6470588235294118,34.0,9.0,16.0,9.0,0.2647058823529412,0.47058823529411764
Sariyer,17.0,8.0,4.0,5.0,0.47058823529411764,0.29411764705882354,17.0,1.0,3.0,13.0,0.058823529411764705,0.7647058823529411,34.0,9.0,18.0,7.0,0.2647058823529412,0.5294117647058824
SV Darmstadt 98,17.0,2.0,6.0,9.0,0.11764705882352941,0.5294117647058824,17.0,7.0,5.0,5.0,0.4117647058823529,0.29411764705882354,34.0,9.0,14.0,11.0,0.2647058823529412,0.4117647058823529
Dresden,103.0,40.0,32.0,31.0,0.3883495145631068,0.30097087378640774,101.0,14.0,33.0,54.0,0.13861386138613863,0.5346534653465347,204.0,54.0,85.0,65.0,0.2647058823529412,0.4166666666666667
Espinho,17.0,5.0,3.0,9.0,0.29411764705882354,0.5294117647058824,17.0,4.0,3.0,10.0,0.23529411764705882,0.5882352941176471,34.0,9.0,19.0,6.0,0.2647058823529412,0.5588235294117647
Sandhausen,35.0,13.0,12.0,10.0,0.37142857142857144,0.2857142857142857,33.0,5.0,6.0,22.0,0.15151515151515152,0.6666666666666666,68.0,18.0,32.0,18.0,0.2647058823529412,0.47058823529411764
Houston,10.0,4.0,4.0,2.0,0.4,0.2,9.0,1.0,3.0,5.0,0.1111111111111111,0.5555555555555556,19.0,5.0,7.0,7.0,0.2631578947368421,0.3684210526315789
Elche CF,38.0,12.0,11.0,15.0,0.3157894736842105,0.39473684210526316,38.0,8.0,10.0,20.0,0.21052631578947367,0.5263157894736842,76.0,20.0,35.0,21.0,0.2631578947368421,0.4605263157894737
F. Andria,38.0,14.0,15.0,9.0,0.3684210526315789,0.23684210526315788,38.0,6.0,13.0,19.0,0.15789473684210525,0.5,76.0,20.0,28.0,28.0,0.2631578947368421,0.3684210526315789
Wuppertaler,19.0,7.0,5.0,7.0,0.3684210526315789,0.3684210526315789,19.0,3.0,6.0,10.0,0.15789473684210525,0.5263157894736842,38.0,10.0,17.0,11.0,0.2631578947368421,0.4473684210526316
Alzano,19.0,9.0,5.0,5.0,0.47368421052631576,0.2631578947368421,19.0,1.0,7.0,11.0,0.05263157894736842,0.5789473684210527,38.0,10.0,16.0,12.0,0.2631578947368421,0.42105263157894735
Wigan Athletic,95.0,28.0,33.0,34.0,0.29473684210526313,0.35789473684210527,95.0,22.0,19.0,54.0,0.23157894736842105,0.5684210526315789,190.0,50.0,88.0,52.0,0.2631578947368421,0.4631578947368421
Beerschot AC,76.0,30.0,25.0,21.0,0.39473684210526316,0.27631578947368424,76.0,10.0,17.0,49.0,0.13157894736842105,0.6447368421052632,152.0,40.0,70.0,42.0,0.2631578947368421,0.4605263157894737
SD Eibar,38.0,13.0,8.0,17.0,0.34210526315789475,0.4473684210526316,38.0,7.0,10.0,21.0,0.18421052631578946,0.5526315789473685,76.0,20.0,38.0,18.0,0.2631578947368421,0.5
Den Haag,152.0,49.0,40.0,63.0,0.3223684210526316,0.4144736842105263,152.0,31.0,28.0,93.0,0.20394736842105263,0.6118421052631579,304.0,80.0,156.0,68.0,0.2631578947368421,0.5131578947368421
CD Numancia,19.0,9.0,3.0,7.0,0.47368421052631576,0.3684210526315789,19.0,1.0,2.0,16.0,0.05263157894736842,0.8421052631578947,38.0,10.0,23.0,5.0,0.2631578947368421,0.6052631578947368
Treviso,137.0,56.0,45.0,36.0,0.40875912408759124,0.26277372262773724,137.0,16.0,50.0,71.0,0.11678832116788321,0.5182481751824818,274.0,72.0,107.0,95.0,0.26277372262773724,0.3905109489051095
Sint-Truidense VV,59.0,18.0,15.0,26.0,0.3050847457627119,0.4406779661016949,59.0,13.0,12.0,34.0,0.22033898305084745,0.576271186440678,118.0,31.0,60.0,27.0,0.2627118644067797,0.5084745762711864
Martigues,118.0,47.0,38.0,33.0,0.3983050847457627,0.2796610169491525,118.0,15.0,44.0,59.0,0.1271186440677966,0.5,236.0,62.0,92.0,82.0,0.2627118644067797,0.3898305084745763
Perpignan,21.0,8.0,9.0,4.0,0.38095238095238093,0.19047619047619047,21.0,3.0,9.0,9.0,0.14285714285714285,0.42857142857142855,42.0,11.0,13.0,18.0,0.2619047619047619,0.30952380952380953
Tottenham,42.0,8.0,16.0,18.0,0.19047619047619047,0.42857142857142855,42.0,14.0,8.0,20.0,0.3333333333333333,0.47619047619047616,84.0,22.0,38.0,24.0,0.2619047619047619,0.4523809523809524
QPR,88.0,28.0,32.0,28.0,0.3181818181818182,0.3181818181818182,88.0,18.0,30.0,40.0,0.20454545454545456,0.45454545454545453,176.0,46.0,68.0,62.0,0.26136363636363635,0.38636363636363635
Macclesfield,46.0,20.0,18.0,8.0,0.43478260869565216,0.17391304347826086,46.0,4.0,18.0,24.0,0.08695652173913043,0.5217391304347826,92.0,24.0,32.0,36.0,0.2608695652173913,0.34782608695652173
